symbol,label,market,code,payout_method,gate_note,fiscal_years,base_eps,f1_revenue,analysts,forecast_source,forecast_method,payout_ratio,payout_detail,payout_years,forecast_dividend_payout
SSE:600519,贵州茅台,A,600519,dividend,渠道库存待核,"['2026', '2027', '2028']","[67.656739130435, 71.522173913044, 75.208837209302]",,45.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.6935973476443573,"{""cash_dividend_per_share"": 134.41223, ""eps"": 193.79}","2025,2024,2023",
SZSE:300628,亿联网络,A,300628,reinvestment,科技硬闸门待核,"['2026', '2027', '2028']","[2.483333333333, 2.947777777778, 3.48375]",,9.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.8883779264214046,"{""cash_dividend_per_share"": 5.1, ""eps"": 5.7408}","2025,2024,2023",
SSE:600809,山西汾酒,A,600809,dividend,白酒去库存,"['2026', '2027', '2028']","[9.649382352941, 10.316970588235, 11.279454545455]",,34.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.593300833903703,"{""cash_dividend_per_share"": 16.990000000000002, ""eps"": 28.6364}","2025,2024,2023",
SSE:603444,吉比特,A,603444,reinvestment,游戏流水波动,"['2026', '2027', '2028']","[27.167586206897, 29.815172413793, 32.158148148148]",,29.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.7982185680027407,"{""cash_dividend_per_share"": 46.6, ""eps"": 58.379999999999995}","2025,2024,2022",
SSE:603605,珀莱雅,A,603605,reinvestment,品牌持续性待核,"['2026', '2027', '2028']","[4.434617647059, 4.533264705882, 4.977470588235]",,34.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.41674418604651164,"{""cash_dividend_per_share"": 4.48, ""eps"": 10.75}","2025,2024,2023",
HKEX:2020,安踏体育,HK,02020,dividend,库存折扣待核,"['2026', '2027', '2028']","[5.118, 5.62, 6.237]",,19.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=2020,median of current broker forecasts,0.46278434940855323,"{""profit"": 39420000000.0, ""dividend"": 18952000000.0, ""repurchase"": 3916000000.0, ""issuance"": 10497000000.0}","2025-12-31,2024-12-31,2023-12-31",0.46278434940855323
HKEX:1882,海天国际,HK,01882,cyclical,十年周期PB,"['2026', '2027', '2028']","[2.083, 2.2365, 2.383]",,6.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=1882,median of current broker forecasts,0.3512166528797436,"{""profit"": 8872997000.0, ""dividend"": 2802863000.0, ""repurchase"": 0.0, ""issuance"": 0.0}","2025-12-31,2024-12-31,2023-12-31",0.3512166528797436
HKEX:6690,海尔智家H,HK,06690,dividend,低增长,"['2026', '2027', '2028']","[2.1919999999999997, 2.408, 2.571]",,13.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=6690,median of current broker forecasts,0.6453299275593732,"{""profit"": 54881000000.0, ""dividend"": 24401000000.0, ""repurchase"": 3595000000.0, ""issuance"": 0.0}","2025-12-31,2024-12-31,2023-12-31",0.5798245614035087
SZSE:000651,格力电器,A,000651,dividend,收入利润下滑,"['2026', '2027', '2028']","[5.238695652174, 5.522608695652, 5.814545454545]",,22.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.5156923076923077,"{""cash_dividend_per_share"": 8.379999999999999, ""eps"": 16.25}","2025,2024,2023",
HKEX:151,中国旺旺,HK,00151,dividend,成熟品牌,"['2027', '2028', '2029']","[0.32, 0.331, 0.34299999999999997]",,8.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=151,median of current broker forecasts,0.32790695629563554,"{""profit"": 12163109000.0, ""dividend"": 0.0, ""repurchase"": 334980000.0, ""issuance"": 0.0}","2026-03-31,2025-03-31,2024-03-31",0.30036630036630035
SZSE:002668,TCL智家,A,002668,dividend,家电盈利承压,"['2026', '2027', '2028']","[1.073333333333, 1.18, 1.286666666667]",,9.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.14779083094555873,"{""cash_dividend_per_share"": 0.51579, ""eps"": 3.49}","2025,2017,2016",
HKEX:322,康师傅,HK,00322,dividend,ROA偏低,"['2026', '2027', '2028']","[0.8, 0.855, 0.9]",,14.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=322,median of current broker forecasts,1.0,"{""profit"": 11352588000.0, ""dividend"": 10959347000.0, ""repurchase"": 0.0, ""issuance"": 20138000.0}","2025-12-31,2024-12-31,2023-12-31",1.0
SZSE:002847,盐津铺子,A,002847,dividend,品牌与渠道待核,"['2026', '2027', '2028']","[3.17603125, 3.7914375, 4.437483870968]",,32.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.5784061696658098,"{""cash_dividend_per_share"": 4.5, ""eps"": 7.779999999999999}","2025,2024,2023",
HKEX:9961,携程,HK,09961,reinvestment,恢复性利润待正常化,"['2026', '2027', '2028']","[20.67, 27.908, 30.955]",,17.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=9961,median of current broker forecasts,0.2357852651835631,"{""profit"": 60279000000.0, ""dividend"": 1423000000.0, ""repurchase"": 8185000000.0, ""issuance"": 0.0}","2025-12-31,2024-12-31,2023-12-31",0.1
HKEX:3998,波司登,HK,03998,dividend,季节/暖冬风险,"['2027', '2028', '2029']","[0.37, 0.39, 0.42]",,11.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=3998,median of current broker forecasts,0.7989130434782609,"{""profit"": 10582363000.0, ""dividend"": 7540171000.0, ""repurchase"": 390687000.0, ""issuance"": 841372000.0}","2026-03-31,2025-03-31,2024-03-31",0.7989130434782609
HKEX:700,腾讯,HK,00700,total_payout,质量高/价格一般,"['2026', '2027', '2028']","[25.616999999999997, 27.3, 30.18]",,19.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=700,median of current broker forecasts,0.6151490862046463,"{""profit"": 534131000000.0, ""dividend"": 92939000000.0, ""repurchase"": 232077000000.0, ""issuance"": 6662000000.0}","2025-12-31,2024-12-31,2023-12-31",0.19312714776632303
SSE:601717,中创智领,A,601717,cyclical,煤机与汽零分部待拆,"['2026', '2027', '2028']","[2.43, 2.81, 3.19]",,7.0,https://basic.10jqka.com.cn/,Tonghuashun broker consensus mean,0.4929361179361179,"{""cash_dividend_per_share"": 3.21, ""eps"": 6.5120000000000005}","2025,2024,2023",
HKEX:6110,滔搏,HK,06110,dividend,渠道与品牌议价待核,"['2027', '2028', '2029']","[0.18, 0.205, 0.22]",,13.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=6110,median of current broker forecasts,1.0,"{""profit"": 4765800000.0, ""dividend"": 6015300000.0, ""repurchase"": 0.0, ""issuance"": 0.0}","2026-02-28,2025-02-28,2024-02-29",1.0
HKEX:1361,361度,HK,01361,dividend,治理与库存待核,"['2026', '2027', '2028']","[0.6837000000000001, 0.752, 0.85]",,5.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=1361,median of current broker forecasts,0.45198275579451197,"{""profit"": 3418926000.0, ""dividend"": 1343579000.0, ""repurchase"": 0.0, ""issuance"": 289000.0}","2025-12-31,2024-12-31,2023-12-31",0.45198275579451197
NYSE:GAP,Gap,US,GAP,total_payout,品牌转型待证,"['F1', 'F2', 'F3']","[2.42362, 2.544801, 2.6720410500000003]",15539101379.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.3209990749306198,"{""profit"": 2162000000.0, ""dividend"": 694000000.0, ""repurchase"": 230000000.0, ""issuance"": 84000000.0, ""sbc"": 368000000.0}","2026-01-31,2025-02-01,2024-02-03",
HKEX:1999,敏华控股,HK,01999,dividend,地产链与海外需求,"['2027', '2028', '2029']","[0.45, 0.48, 0.511]",,5.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=1999,median of current broker forecasts,0.5469256543978418,"{""profit"": 5590933631.26, ""dividend"": 3039526771.37, ""repurchase"": 207899111.5, ""issuance"": 7662376.95}","2026-03-31,2025-03-31,2024-03-31",0.5111111111111111
HKEX:1910,新秀丽,HK,01910,dividend,旅行消费与杠杆,"['F1', 'F2', 'F3']","[1.3528032619775738, 1.4339714576962284, 1.5200097451580021]",27621313816.356934,,https://www.tradingview.com/markets/stocks-hong-kong/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.18678813252497997,"{""profit"": 7326757870.0, ""dividend"": 383378460.0, ""repurchase"": 1434427360.0, ""issuance"": 449254400.0}","2025-12-31,2024-12-31,2023-12-31",
