symbol,label,market,code,payout_method,gate_note,fiscal_years,base_eps,f1_revenue,analysts,forecast_source,forecast_method,payout_ratio,payout_detail,payout_years,forecast_dividend_payout
NASDAQ:MSFT,Microsoft,US,MSFT,reinvestment,质量高/价格一般,"['F1', 'F2', 'F3']","[19.723885, 22.485228900000003, 25.183456368000005]",390636922968.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.2751261132408863,"{""profit"": 323717000000.0, ""dividend"": 72298000000.0, ""repurchase"": 57945000000.0, ""issuance"": 6067000000.0, ""sbc"": 35113000000.0}","2026-06-30,2025-06-30,2024-06-30",
SZSE:000333,美的集团,A,000333,dividend,稳健低增长,"['2026', '2027', '2028']","[6.183741935484, 6.692419354839, 7.225766666667]",,31.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.6679035250463822,"{""cash_dividend_per_share"": 10.8, ""eps"": 16.17}","2025,2024,2023",
SZSE:000651,格力电器,A,000651,dividend,收入利润下滑,"['2026', '2027', '2028']","[5.238695652174, 5.522608695652, 5.814545454545]",,22.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.5156923076923077,"{""cash_dividend_per_share"": 8.379999999999999, ""eps"": 16.25}","2025,2024,2023",
SZSE:300628,亿联网络,A,300628,reinvestment,科技硬闸门待核,"['2026', '2027', '2028']","[2.483333333333, 2.947777777778, 3.48375]",,9.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.8883779264214046,"{""cash_dividend_per_share"": 5.1, ""eps"": 5.7408}","2025,2024,2023",
SSE:603605,珀莱雅,A,603605,reinvestment,品牌持续性待核,"['2026', '2027', '2028']","[4.434617647059, 4.533264705882, 4.977470588235]",,34.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.41674418604651164,"{""cash_dividend_per_share"": 4.48, ""eps"": 10.75}","2025,2024,2023",
SSE:603444,吉比特,A,603444,reinvestment,游戏流水波动,"['2026', '2027', '2028']","[27.167586206897, 29.815172413793, 32.158148148148]",,29.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.7982185680027407,"{""cash_dividend_per_share"": 46.6, ""eps"": 58.379999999999995}","2025,2024,2022",
HKEX:2020,安踏体育,HK,02020,dividend,库存折扣待核,"['2026', '2027', '2028']","[5.118, 5.62, 6.237]",,19.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=2020,median of current broker forecasts,0.46278434940855323,"{""profit"": 39420000000.0, ""repurchase"": 3916000000.0, ""issuance"": 10497000000.0}","2025-12-31,2024-12-31,2023-12-31",0.46278434940855323
HKEX:1882,海天国际,HK,01882,cyclical,十年周期PB,"['2026', '2027', '2028']","[2.083, 2.2365, 2.383]",,6.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=1882,median of current broker forecasts,0.3512166528797436,"{""profit"": 8872997000.0, ""repurchase"": 0.0, ""issuance"": 0.0}","2025-12-31,2024-12-31,2023-12-31",0.3512166528797436
HKEX:151,中国旺旺,HK,00151,dividend,成熟品牌,"['2027', '2028', '2029']","[0.32, 0.331, 0.34299999999999997]",,8.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=151,median of current broker forecasts,0.32790695629563554,"{""profit"": 12163109000.0, ""repurchase"": 334980000.0, ""issuance"": 0.0}","2026-03-31,2025-03-31,2024-03-31",0.30036630036630035
HKEX:6690,海尔智家H,HK,06690,dividend,低增长,"['2026', '2027', '2028']","[2.1919999999999997, 2.408, 2.571]",,13.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=6690,median of current broker forecasts,0.6453299275593732,"{""profit"": 54881000000.0, ""repurchase"": 3595000000.0, ""issuance"": 0.0}","2025-12-31,2024-12-31,2023-12-31",0.5798245614035087
HKEX:322,康师傅,HK,00322,dividend,ROA偏低,"['2026', '2027', '2028']","[0.8, 0.855, 0.9]",,14.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=322,median of current broker forecasts,1.0,"{""profit"": 11352588000.0, ""repurchase"": 0.0, ""issuance"": 20138000.0}","2025-12-31,2024-12-31,2023-12-31",1.0
HKEX:9961,携程,HK,09961,reinvestment,恢复性利润待正常化,"['2026', '2027', '2028']","[20.67, 27.908, 30.955]",,17.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=9961,median of current broker forecasts,0.2357852651835631,"{""profit"": 60279000000.0, ""repurchase"": 8185000000.0, ""issuance"": 0.0}","2025-12-31,2024-12-31,2023-12-31",0.1
HKEX:3998,波司登,HK,03998,dividend,季节/暖冬风险,"['2027', '2028', '2029']","[0.37, 0.39, 0.42]",,11.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=3998,median of current broker forecasts,0.7989130434782609,"{""profit"": 10582363000.0, ""repurchase"": 390687000.0, ""issuance"": 841372000.0}","2026-03-31,2025-03-31,2024-03-31",0.7989130434782609
HKEX:700,腾讯,HK,00700,total_payout,质量高/价格一般,"['2026', '2027', '2028']","[25.616999999999997, 27.3, 30.18]",,19.0,https://www.etnet.com.hk/www/eng/stocks/realtime/quote_profit.php?code=700,median of current broker forecasts,0.6151490862046463,"{""profit"": 534131000000.0, ""repurchase"": 232077000000.0, ""issuance"": 6662000000.0}","2025-12-31,2024-12-31,2023-12-31",0.19312714776632303
